,Date,Low,High,Close,Open
3220,2010-05-26,7.84,8.84,8.45,7.92
3219,2010-05-27,8.43,8.82,8.74,8.73
3218,2015-11-19,41.89,42.7299,42.3,41.94
3217,2015-11-18,41.01,42.32,41.75,42.32
3216,2008-11-14,5.68,6.53,5.73,6.18
3215,2008-11-13,5.0,6.53,6.53,5.23
3214,2008-11-12,5.12,7.5,5.23,7.5
3213,2008-11-11,6.96,7.75,7.51,7.64
3212,2008-11-10,7.31,8.0,7.5,7.64
3211,2015-11-11,44.37,44.95,44.39,44.76
3210,2015-11-10,44.0201,45.16,44.49,44.66
3209,2015-11-13,43.12,44.23,43.45,43.67
3208,2015-11-12,43.82,44.52,43.9,44.29
3207,2015-11-17,42.05,43.46,42.3,43.0
3206,2015-11-16,41.85,42.84,42.83,42.41
3205,2009-10-06,4.25,4.46,4.38,4.41
3204,2009-10-07,4.21,4.39,4.25,4.34
3203,2008-11-17,5.51,6.43,6.18,5.69
3202,2006-11-01,48.18,50.12,48.51,49.95
3201,2015-12-14,41.08,42.87,41.77,42.26
3200,2015-12-15,41.92,42.82,42.595,41.97
3199,2015-12-16,42.12,43.49,43.2,42.99
3198,2015-12-17,42.45,43.95,42.46,43.33
3197,2015-12-10,43.54,44.48,44.09,43.79
3196,2015-12-11,42.06,43.5869,42.09,43.28
3195,2013-01-07,14.53,14.98,14.84,14.79
3194,2013-01-09,15.04,15.5,15.13,15.12
3193,2013-01-08,14.78,15.25,15.16,14.89
3192,2015-12-18,40.7,42.31,41.09,41.61
3191,2014-03-31,35.75,36.87,36.6,35.84
3190,2005-12-16,33.68,35.5,35.15,33.68
3189,2008-11-19,4.78,6.19,4.9,6.03
3188,2008-11-18,5.74,6.61,6.08,6.37
3187,2012-03-19,7.05,7.29,7.19,7.11
3186,2009-02-12,4.42,4.9,4.73,4.65
3185,2016-09-08,38.43,39.41,39.35,38.68
3184,2016-09-09,38.17,39.34,38.49,39.0
3183,2018-03-28,50.05,51.2615,50.85,50.9
3182,2018-03-29,51.03,52.4301,51.96,51.3
3181,2018-03-26,50.64,52.04,51.86,51.94
3180,2018-03-27,50.55,52.35,50.9,52.3
3179,2016-09-06,36.36,36.97,36.96,36.45
3178,2016-09-07,37.42,39.52,38.75,37.5
3177,2018-03-22,52.29,54.18,52.31,53.58
3176,2018-03-23,50.99,53.1,51.01,52.63
3175,2016-09-02,36.0,36.7,36.53,36.0
3174,2018-03-21,53.165,54.61,54.09,54.21
3173,2017-04-17,43.36,44.25,44.23,43.47
3172,2009-02-11,4.4,5.2,4.58,5.14
3171,2017-04-11,42.412,43.95,43.93,42.78
3170,2017-04-10,41.62,42.67,42.32,41.81
3169,2017-04-13,43.335,44.02,43.35,43.95
3168,2017-04-12,43.83,45.35,43.96,44.79
3167,2017-04-19,43.9,44.775,44.4,44.07
3166,2017-04-18,43.4,44.53,43.81,44.03
3165,2009-02-17,4.32,4.56,4.42,4.41
3164,2009-09-10,3.81,4.2,4.02,3.85
3163,2006-01-06,38.14,39.71,39.0,39.71
3162,2005-10-11,21.8,22.3,21.98,22.26
3161,2005-10-10,22.1,22.29,22.21,22.28
3160,2005-10-13,21.4,21.8,21.71,21.7
3159,2005-10-12,21.64,22.05,21.76,21.9
3158,2005-10-14,21.85,22.4,22.27,21.85
3157,2005-10-17,21.85,22.22,22.08,22.15
3156,2005-10-19,20.85,21.6,21.38,21.37
3155,2005-10-18,21.35,22.3,21.49,22.06
3154,2018-01-31,53.0,54.71,54.32,53.08
3153,2017-08-24,42.67,44.15,42.92,44.13
3152,2017-08-25,43.01,45.43,45.25,43.09
3151,2017-03-09,43.25,44.93,43.33,44.5
3150,2017-03-08,44.597,45.3,44.89,44.79
3149,2016-05-31,31.33,31.97,31.91,31.75
3148,2017-08-21,45.41,46.09,45.71,45.73
3147,2017-08-22,45.325,45.93,45.41,45.85
3146,2017-08-23,43.52,45.2431,43.97,45.17
3145,2017-03-03,45.77,47.26,46.82,45.85
3144,2017-03-02,45.64,46.74,45.72,46.67
3143,2017-03-01,46.7,48.135,47.09,46.79
3142,2017-08-28,44.78,45.3718,44.95,45.23
3141,2017-08-29,44.38,44.85,44.56,44.53
3140,2014-08-08,35.23,37.38,37.18,36.56
3139,2008-04-23,6.1,7.01,6.25,7.01
3138,2014-08-01,38.43,39.53,39.43,38.75
3137,2014-08-05,36.743,38.45,37.18,37.89
3136,2014-08-04,37.63,39.85,38.14,39.49
3135,2014-08-07,36.5,38.41,36.86,37.7
3134,2014-08-06,36.14,38.0,37.46,36.56
3133,2011-05-06,9.46,10.01,9.69,10.01
3132,2011-05-05,9.43,10.1,9.82,9.48
3131,2011-05-04,9.12,9.36,9.3,9.19
3130,2011-05-03,9.0,9.23,9.22,9.01
3129,2011-05-02,8.98,9.35,9.06,9.24
3128,2011-05-09,9.31,9.68,9.32,9.53
3127,2014-11-14,43.665,44.541,44.01,44.0
3126,2014-11-17,43.63,44.58,43.69,43.97
3125,2014-11-10,41.675,43.94,43.83,42.5
3124,2014-11-11,43.32,44.47,43.44,44.0
3123,2014-11-12,42.84,43.63,43.43,43.25
3122,2014-11-13,43.4898,44.4601,44.12,43.54
3121,2014-11-18,43.755,45.46,45.05,43.755
3120,2014-11-19,44.04,45.4,44.1,44.83
3119,2014-12-19,49.1,50.94,50.71,49.67
3118,2014-12-18,47.5,50.93,50.14,48.56
3117,2012-04-12,7.64,7.94,7.89,7.65
3116,2012-04-13,7.7,7.86,7.84,7.82
3115,2018-04-30,42.76,43.81,42.93,43.5
3114,2012-04-16,7.85,8.17,8.13,7.86
3113,2012-04-17,8.04,8.25,8.18,8.17
3112,2014-12-11,49.65,51.5,50.53,49.8
3111,2014-12-10,48.25,50.399,48.94,49.8
3110,2014-12-12,49.9,51.7,49.97,51.675
3109,2014-12-15,49.32,51.32,50.84,50.21
3108,2014-12-17,46.05,49.49,48.8,48.26
3107,2014-12-16,47.68,51.15,47.96,51.01
3106,2006-08-21,39.73,41.75,40.23,41.75
3105,2009-10-30,2.95,3.25,3.06,3.22
3104,2011-06-30,8.9,9.1,8.91,8.92
3103,2011-10-03,4.53,5.59,4.63,5.44
3102,2008-01-24,12.45,13.36,12.66,12.63
3101,2011-10-05,4.95,5.23,5.17,4.97
3100,2011-10-04,4.59,5.01,5.0,4.61
